Training step,QF1 Loss,QF2 Loss,Policy Loss,Q1 Predictions Mean,Q1 Predictions Std,Q1 Predictions Max,Q2 Predictions Min,Q Targets Mean,Q Targets Std,Q Targets Max,Q Targets Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min
63,4.567956e-06,4.729155e-06,-5.4213486,2.710299,2.3841858e-07,2.7102993,2.7102203,2.7112813,0.0018983921,2.7174897,2.7073786,-2.7111278,0.20851156,-2.3316483,-3.3793812,-0.0010450142,0.0142273735,0.012960055,-0.02285491,-0.1335389,0.009450788,-0.12537217,-0.1488378
64,2.2396343e-05,2.1945145e-05,-5.439063,2.7162378,2.3841858e-07,2.7162375,2.7161856,2.7118711,0.0018248385,2.7166762,2.7070143,-2.7228773,0.1852031,-2.2297616,-3.040922,0.001141904,0.0028830532,0.005447307,-0.002373106,-0.13407078,0.0033881427,-0.1297286,-0.13919325
65,6.528354e-06,6.501641e-06,-5.4151945,2.7112665,0.0,2.7112665,2.711281,2.712192,0.0023814957,2.7235348,2.7071674,-2.703928,0.16681348,-2.241523,-3.0296254,-0.0014556232,0.0036304784,0.0018751163,-0.007212924,-0.13195395,0.0065034362,-0.12458981,-0.13963951
66,7.2381595e-06,6.929451e-06,-5.4261503,2.7143133,0.0,2.7143133,2.714183,2.7130625,0.0023819348,2.72146,2.70833,-2.7119672,0.20511726,-2.3054323,-3.5817308,0.00087677967,0.005725331,0.010647181,-0.003765264,-0.13261853,0.007566234,-0.123272456,-0.14166957
67,1.4702772e-05,1.4567633e-05,-5.4469166,2.7141283,2.3841858e-07,2.714128,2.7140832,2.7125983,0.0035159849,2.7344954,2.7085924,-2.7328334,0.20097457,-2.3492675,-3.3689208,-0.005515907,0.005439175,0.0032059574,-0.0110555375,-0.13520674,0.0030255977,-0.13206917,-0.13867392
68,4.16125e-06,4.1935855e-06,-5.424377,2.7136729,0.0,2.7136729,2.713685,2.7123494,0.0015522381,2.7158883,2.7093601,-2.7107043,0.19903326,-2.2177448,-3.3965173,0.003326538,0.0015015499,0.0052819955,0.0010983457,-0.13661598,0.006476177,-0.13034715,-0.14747539
69,9.177438e-06,9.000692e-06,-5.402565,2.7148116,2.3841858e-07,2.7148118,2.7147691,2.7127197,0.0021910341,2.7212174,2.708889,-2.6877956,0.22792637,-2.2301412,-3.5947747,0.0023045158,0.008703445,0.016806707,-0.005094194,-0.13670225,0.004127879,-0.13243887,-0.14353462
70,3.6952338e-06,3.6968709e-06,-5.4575877,2.7127798,0.0,2.7127798,2.712914,2.7128408,0.0019213305,2.7179115,2.7085588,-2.7448082,0.33969158,-2.3254256,-4.899091,-0.00014093955,0.00248296,0.0028062654,-0.0038442833,-0.13386306,0.0043031676,-0.12682417,-0.13787255
71,1.5358748e-05,1.5872849e-05,-5.44655,2.7168348,2.3841858e-07,2.7168345,2.7169082,2.7133822,0.0018547944,2.7165737,2.7090056,-2.7297156,0.20240067,-2.3510566,-3.3638046,-0.0034352038,0.007218626,0.005527407,-0.013390024,-0.1351289,0.009624761,-0.12118448,-0.14839025
72,5.4663665e-06,5.454952e-06,-5.3834686,2.714692,0.0,2.714692,2.7146869,2.7136016,0.0020680057,2.7229362,2.7099957,-2.6687818,0.19370647,-2.2448454,-3.1794624,0.004992537,0.0040934472,0.0086399345,-0.0017167398,-0.13091232,0.0051163263,-0.124557994,-0.13687027
73,4.722634e-06,4.357601e-06,-5.471921,2.7128139,2.3841858e-07,2.7128136,2.713102,2.7135904,0.0020295419,2.7216737,2.7090127,-2.7591076,0.28740117,-2.254027,-4.1060934,-0.0031329612,0.007034134,0.005815722,-0.010752204,-0.1335216,0.006376945,-0.1277971,-0.1442055
74,6.8443396e-06,6.08142e-06,-5.4684258,2.7154117,2.3841858e-07,2.7154114,2.7151635,2.713749,0.0020200908,2.7206984,2.7095308,-2.7532623,0.26326296,-2.3417041,-4.321493,-0.00014548039,0.009926601,0.012583711,-0.011906159,-0.12857893,0.008736563,-0.11503668,-0.13885522
75,8.712263e-06,8.910882e-06,-5.473625,2.7156286,0.0,2.7156286,2.7157092,2.7144365,0.0027002345,2.7282896,2.7100155,-2.7579966,0.23036768,-2.3087492,-3.4001253,0.0020164503,0.008756391,0.010994166,-0.012117188,-0.13552317,0.00803379,-0.12292485,-0.14342369
76,5.3191225e-06,5.40055e-06,-5.4350185,2.7126486,2.3841858e-07,2.7126489,2.7126164,2.7138882,0.0019449841,2.7200615,2.7095957,-2.722402,0.19561346,-2.239883,-3.3653166,-0.0012843502,0.009961354,0.005820461,-0.018443732,-0.13041568,0.004173556,-0.12350526,-0.1337248
77,1.1595459e-05,1.0720129e-05,-5.4490657,2.7120016,2.3841858e-07,2.7120013,2.712182,2.7145133,0.0022988382,2.7263916,2.7088099,-2.7370641,0.17681174,-2.2222395,-3.3447843,-0.0010233343,0.005835476,0.0051193265,-0.010623078,-0.13459319,0.0055780383,-0.12556711,-0.1407387
78,8.870349e-06,8.824198e-06,-5.438225,2.714886,2.3841858e-07,2.7148862,2.714786,2.7146058,0.0029650738,2.7319782,2.7096999,-2.7234387,0.20925894,-2.2511618,-3.427239,-0.008782631,0.0059475345,-0.0015024666,-0.018080754,-0.13520691,0.002649653,-0.13185047,-0.1383423
79,8.108904e-06,7.607298e-06,-5.416456,2.7162516,2.3841858e-07,2.7162519,2.7161307,2.7141204,0.0018884896,2.717558,2.7103736,-2.7003255,0.17608628,-2.314262,-3.0671759,0.00080507004,0.0062327594,0.008509254,-0.008334087,-0.13531086,0.0063195,-0.12582429,-0.14352643
